ID,OrgstructureID,E_COMPANY,E_BRANCH,E_UNIT,E_DIVISION,E_DEPARTMENT,E_TEAM,E_SECTION,E_OU_L8,E_OU_L9,E_OU_L10,E_OU_L11,E_OU_L12,E_COMPANY_CODE,E_BRANCH_CODE,E_UNIT_CODE,E_DIVISION_CODE,E_DEPARTMENT_CODE,E_TEAM_CODE,E_SECTION_CODE,E_OU_L8_CODE,E_OU_L9_CODE,E_OU_L10_CODE,E_OU_L11_CODE,E_OU_L12_CODE,ServerUpdate,ServerCreate,UserUpdate,UserCreate,DateCreate,DateUpdate,UserLockID,DateLock,IsDelete,IPCreate,IPUpdate,E_COMPANY_E,E_BRANCH_E,E_UNIT_E,E_DIVISION_E,E_DEPARTMENT_E,E_TEAM_E,E_SECTION_E,SortID,OrgParent1,OrgParent2,OrgParentCode1,OrgParentCode2,OrgParentEN1,OrgParentEN2
EF2FF567-23FF-443E-9BA4-FB1F080D806B,DF0567AA-8542-406F-B82E-BFB5638E0290,PHONG PHÚ GROUP,NULL,CÔNG TY CP QUỐC TẾ PHONG PHÚ,Chi nhánh thành phố Đà Nẵng - Công ty CPQT Phong Phú,Nhà máy May Xuất khẩu Phong Phú Đà Nẵng B,Chuyền may,Chuyền 08,NULL,NULL,NULL,NULL,NULL,PPG,NULL,PPJ,340000,FC_470000,471000,470134,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,,CHI NHÁNH TP ÐÀ N?NG - CÔNG TY CP QU?C T? PHONG PHÚ ,Nhà máy May Xu?t kh?u Phong Phú Ðà N?ng B,NULL,NULL,3700494,Chuyền may,Nhà máy May Xuất khẩu Phong Phú Đà Nẵng B,471000,FC_470000,NULL,Nhà máy May Xuất khẩu Phong Phú Đà Nẵng B
6337E547-4B91-4317-B965-FB21F78D57AC,3EB3AA68-1EF5-4BB4-9005-252979DF0D34,PHONG PHÚ GROUP,NULL,CÔNG TY CỔ PHẦN CÔNG NGHỆ WASH HNC,Nhà máy Wash HNC,Bộ phận thời trang,3D,NULL,NULL,NULL,NULL,NULL,NULL,PPG,NULL,FC_HNC,940002,709000,709010,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,3699312,Bộ phận thời trang,Nhà máy Wash HNC,709000,940002,NULL,NULL
648F905C-7F9A-440D-85BA-FB25ABEF7A0F,399318AF-0B4B-4399-8860-AD3EAAC75203,PHONG PHÚ GROUP,NULL,CÔNG TY TNHH DỆT MAY VTJ TOMS,Nhà Máy May,BP. Cắt,Ca 1,NULL,NULL,NULL,NULL,NULL,NULL,PPG,NULL,FC_VIT,FC_VIT_11000,V11005,V11105,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,3700351,BP. Cắt,Nhà Máy May,V11005,FC_VIT_11000,NULL,NULL
1D75736B-1883-4F9F-BEF6-FB4A6B130C09,2D51E4D9-0E27-451F-82D8-04DA8D6B3797,PHONG PHÚ GROUP,NULL,CÔNG TY CỔ PHẦN ĐẦU TƯ QUỐC TẾ PHONG PHÚ - PHÚ YÊN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PPG,NULL,PY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,CÔNG TY C? PH?N Ð?U TU QU?C T? PHONG PHÚ - PHÚ YÊN,NULL,NULL,NULL,NULL,3699057,PHONG PHÚ GROUP,NULL,PPG,NULL,,NULL
F0F9AE48-E4A7-4D7B-96D1-FB4EB1B67953,4A933C03-0E05-4F62-A0EF-4C3D07750109,PHONG PHÚ GROUP,NULL,CÔNG TY CP QUỐC TẾ PHONG PHÚ,Chi nhánh Công ty Cổ phần Quốc tế Phong Phú - Tuyên Quang,Chuyền may,Chuyền 14,Cụm tay 14,NULL,NULL,NULL,NULL,NULL,PPG,NULL,PPJ,FC_500000,509000,509110,509113,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,,NULL,NULL,NULL,NULL,3699621,Chuyền 14,Chuyền may,509110,509000,NULL,NULL
8B1F8BD9-42A0-4D4B-9967-FB7415BD2DFE,771D8AD8-4B48-4C2D-9C8A-035F222CC140,PHONG PHÚ GROUP,NULL,CÔNG TY CỔ PHẦN VINATEX QUỐC TẾ,Nhà máy may Vinatex Quốc Tế Sài Gòn,Chuyền may,Chuyền đa năng,NULL,NULL,NULL,NULL,NULL,NULL,PPG,NULL,VTJ,FC_320000,321000,321039,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,CÔNG TY C? PH?N VINATEX QU?C T?,CHI NHÁNH TP.HCM – CÔNG TY C? PH?N VINATEX QU?C T?,NULL,NULL,NULL,3699029,Chuyền may,Nhà máy may Vinatex Quốc Tế Sài Gòn,321000,FC_320000,NULL,CHI NHÁNH TP.HCM – CÔNG TY CỔ PHẦN VINATEX QUỐC TẾ
C34C715F-F051-4EB4-8387-FC07537684B0,5D4FB77D-C931-4DCF-A66C-807E7F7A5ED4,PHONG PHÚ GROUP,NULL,CÔNG TY CP QUỐC TẾ PHONG PHÚ,Nhà máy Wash Phong Phú,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PPG,NULL,PPJ,FC_280000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,,CÔNG TY CP QU?C T? PHONG PHÚ,NULL,NULL,NULL,3700023,CÔNG TY CP QUỐC TẾ PHONG PHÚ,PHONG PHÚ GROUP,PPJ,PPG,,
82CEBE49-1407-4D5F-AEEC-FC152459545C,7F83B0A8-94AB-47A8-AD83-2CC2D88F4BF9,PHONG PHÚ GROUP,NULL,CÔNG TY TNHH MTV DỆT VẢI QUỐC TẾ PHONG PHÚ,Khối Văn phòng,Phòng Kinh doanh,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PPG,NULL,FC_PPF,911000,911006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,3699369,Khối Văn phòng,CÔNG TY TNHH MTV DỆT VẢI QUỐC TẾ PHONG PHÚ,911000,FC_PPF,NULL,NULL
6F749C71-67E3-4C0C-93F1-FC1D122BBE06,99A22A0E-B0F8-4E00-93E8-3797920F7796,PHONG PHÚ GROUP,NULL,CÔNG TY CP QUỐC TẾ PHONG PHÚ,Chi nhánh Long An - Công ty CPQT Phong Phú,Khối Nghiệp Vụ,P. Kế Hoạch,NULL,NULL,NULL,NULL,NULL,NULL,PPG,NULL,PPJ,600000,620000,622000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,,NULL,NULL,NULL,NULL,3699460,Khối Nghiệp Vụ,Chi nhánh Long An - Công ty CPQT Phong Phú,620000,600000,NULL,NULL
619D90DA-0238-4496-97DB-FC2AF01BC2EA,46BF1435-58FD-4C41-800F-5EB0232FF1D9,PHONG PHÚ GROUP,NULL,CÔNG TY CỔ PHẦN CÔNG NGHỆ WASH HNC,Nhà máy Wash HNC,Bộ phận cơ điện,Vận hành lò hơi,NULL,NULL,NULL,NULL,NULL,NULL,PPG,NULL,FC_HNC,940002,700000,700020,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,3699760,Bộ phận cơ điện,Nhà máy Wash HNC,700000,940002,NULL,NULL
